ID,Name,Train,Test,Class,Length,ms_TRAIN_euc,di_TRAIN_euc,db_TRAIN_euc,ch_TRAIN_euc,ms_TRAIN_dtw,di_TRAIN_dtw,db_TRAIN_dtw,ch_TRAIN_dtw,ms_TRAIN_euc_z,di_TRAIN_euc_z,db_TRAIN_euc_z,ch_TRAIN_euc_z,ms_TRAIN_dtw_z,di_TRAIN_dtw_z,db_TRAIN_dtw_z,ch_TRAIN_dtw_z,ms_TEST_euc,di_TEST_euc,db_TEST_euc,ch_TEST_euc,ms_TEST_dtw,di_TEST_dtw,db_TEST_dtw,ch_TEST_dtw,ms_TEST_euc_z,di_TEST_euc_z,db_TEST_euc_z,ch_TEST_euc_z,ms_TEST_dtw_z,di_TEST_dtw_z,db_TEST_dtw_z,ch_TEST_dtw_z
1,Adiac,390,391,37,176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0
2,ArrowHead,36,175,3,251,0.6923076923076923,0.3076923076923077,0.7692307692307693,0.7692307692307693,0.9230769230769231,0.6153846153846154,0.6153846153846154,0.6923076923076923,0.6153846153846154,0.38461538461538464,0.5384615384615384,0.5384615384615384,0.7692307692307693,0.46153846153846156,0.6923076923076923,0.5384615384615384,0.7692307692307693,0.38461538461538464,0.6153846153846154,0.7692307692307693,0.7692307692307693,0.23076923076923078,0.7692307692307693,0.5384615384615384,0.6923076923076923,0.23076923076923078,0.9230769230769231,0.9230769230769231,0.7692307692307693,0.0,0.7692307692307693,0.38461538461538464
3,Beef,30,30,5,470,0.6153846153846154,0.6153846153846154,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.6153846153846154,0.6923076923076923,0.6153846153846154,0.8461538461538461,0.6153846153846154,0.46153846153846156,0.7692307692307693,0.8461538461538461,0.6923076923076923,0.6923076923076923,0.5384615384615384,0.6923076923076923,0.6923076923076923,0.6153846153846154,0.46153846153846156,0.8461538461538461,0.7692307692307693,0.6923076923076923,0.6923076923076923,0.9230769230769231,0.8461538461538461,0.7692307692307693,0.7692307692307693,0.9230769230769231,0.9230769230769231,1.0,0.8461538461538461
4,BeetleFly,20,20,2,512,0.46153846153846156,0.6153846153846154,0.9230769230769231,0.9230769230769231,0.46153846153846156,0.38461538461538464,0.5384615384615384,0.5384615384615384,0.15384615384615385,0.38461538461538464,0.8461538461538461,0.8461538461538461,0.5384615384615384,0.46153846153846156,0.8461538461538461,0.7692307692307693,0.3076923076923077,0.0,0.5384615384615384,0.5384615384615384,0.38461538461538464,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.3076923076923077,0.5384615384615384,0.5384615384615384,0.7692307692307693,0.6923076923076923,0.46153846153846156,0.5384615384615384
5,BirdChicken,20,20,2,512,0.46153846153846156,0.46153846153846156,0.6153846153846154,0.6153846153846154,0.9230769230769231,0.38461538461538464,0.9230769230769231,0.6923076923076923,0.15384615384615385,0.38461538461538464,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.23076923076923078,0.7692307692307693,0.5384615384615384,0.07692307692307693,0.07692307692307693,0.8461538461538461,0.7692307692307693,0.23076923076923078,0.0,0.9230769230769231,0.9230769230769231,0.07692307692307693,0.07692307692307693,0.9230769230769231,0.9230769230769231,0.15384615384615385,0.15384615384615385,0.6923076923076923,0.6923076923076923
6,Car,60,60,4,577,0.6153846153846154,0.0,0.6153846153846154,0.6153846153846154,0.6923076923076923,0.6923076923076923,0.5384615384615384,0.5384615384615384,0.38461538461538464,0.0,0.38461538461538464,0.38461538461538464,0.6153846153846154,0.6923076923076923,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.3076923076923077,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.23076923076923078,0.3076923076923077,0.38461538461538464,0.7692307692307693,0.6153846153846154,0.6923076923076923,0.6923076923076923,0.6153846153846154,0.3076923076923077,0.6153846153846154,0.6153846153846154
7,CBF,30,900,3,128,0.23076923076923078,0.3076923076923077,0.23076923076923078,0.3076923076923077,0.6153846153846154,0.23076923076923078,0.07692307692307693,0.0,0.5384615384615384,0.15384615384615385,0.46153846153846156,0.46153846153846156,0.7692307692307693,0.6153846153846154,0.0,0.0,1.0,0.0,0.9230769230769231,0.9230769230769231,0.3076923076923077,0.0,0.15384615384615385,0.15384615384615385,1.0,0.0,1.0,1.0,0.38461538461538464,0.0,0.07692307692307693,0.07692307692307693
10,Coffee,28,28,2,286,0.6923076923076923,0.07692307692307693,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.07692307692307693,0.8461538461538461,0.8461538461538461,0.5384615384615384,0.15384615384615385,0.8461538461538461,0.8461538461538461,0.6923076923076923,0.0,0.8461538461538461,0.8461538461538461,0.15384615384615385,0.38461538461538464,0.3076923076923077,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.5384615384615384,0.7692307692307693,0.07692307692307693,0.23076923076923078,0.7692307692307693,0.6923076923076923,0.46153846153846156,0.07692307692307693,0.5384615384615384,0.6923076923076923
11,Computers,250,250,2,720,0.0,0.15384615384615385,1.0,0.9230769230769231,0.46153846153846156,0.15384615384615385,0.7692307692307693,0.7692307692307693,0.0,0.07692307692307693,1.0,0.9230769230769231,0.5384615384615384,0.15384615384615385,0.6153846153846154,0.6923076923076923,0.0,0.07692307692307693,1.0,1.0,0.8461538461538461,0.6153846153846154,0.7692307692307693,0.7692307692307693,0.15384615384615385,0.15384615384615385,0.9230769230769231,0.9230769230769231,0.6153846153846154,0.15384615384615385,0.8461538461538461,0.7692307692307693
12,CricketX,390,390,12,300,1.0,0.9230769230769231,1.0,1.0,0.0,0.0,0.07692307692307693,0.07692307692307693,1.0,1.0,1.0,1.0,0.0,0.0,0.07692307692307693,0.07692307692307693,1.0,0.38461538461538464,1.0,1.0,0.0,0.0,0.07692307692307693,0.07692307692307693,1.0,0.5384615384615384,1.0,1.0,0.0,0.23076923076923078,0.0,0.0
