fecha,K_operacion_GWs,demanda_neta_MW
2023_01_04-00_16_30,66.4,8196.65
2023_01_05-00_21_20,59.8,8243.51
2023_01_06-08_45_00,49.5,7513.93
2023_01_08-11_00_30,31.5,3583.86
2023_01_09-04_03_00,53,7152.41
2023_01_13-14_04_00,38.9,3098.79
2023_01_17-01_31_40,54,7784.87
2023_01_20-13_12_00,43.2,3847.33
2023_01_24-09_44_02,44.6,4202.15
2023_01_25-02_07_20,52.6,6786.85
2023_01_26-00_09_10,50.9,6861.21
2023_02_01-21_45_40,56.4,7093.76
2023_02_05-22_20_50,49.9,7304.63
2023_02_07-04_56_30,50.7,7350.73
2023_02_09-00_13_00,58.6,8471.41
2023_02_09-23_59_00,58.6,8680.79
2023_02_12-10_41_30,45.6,4084.9
2023_02_13-14_08_10,47.2,4461.16
2023_02_13-22_37_00,58.3,7610.85
2023_02_17-03_54_00,52.4,6968.02
2023_02_17-21_35_00,59.9,8215.78
2023_02_18-16_43_50,40.1,3244.86
2023_02_24-11_33_50,43.3,4143.18
