,ins,rep,model,fun,success,nit,nfev,Ta,Tb,Tc,Td
0,2023_02_09-00_13_00,0,A1,0.0002707486469639127,True,128,19350,15.989356693748675,0.9114495479221887,6.289556101573908,
1,2023_02_13-14_08_10,0,A1,15.997273677422132,True,9,1500,767.0542297032976,794.5613045125981,63.32475160199078,
2,2023_01_06-08_45_00,0,A1,0.004542688143377236,True,116,17550,703.2440251053797,2.923319672578259,49.06189505381178,
3,2023_01_05-00_21_20,0,A1,0.002258909088372151,True,66,10050,4.340124813431316,979.7691764176559,163.12267197553984,
4,2023_01_13-14_04_00,0,A1,0.01101750294343557,True,34,5250,4.184630154316892,289.6603054289466,387.773980329019,
5,2023_02_12-10_41_30,0,A1,469.44873343720445,True,21,3300,721.026214026688,822.0375900418741,1.0936771043639055,
6,2023_02_01-21_45_40,0,A1,0.001260559638776943,True,78,11850,9.067305022076198,84.39942176889974,247.0525298481228,
7,2023_02_24-11_33_50,0,A1,0.002090860684687795,True,71,10800,162.1811729516391,2.812916012258711,391.742802462109,
8,2023_02_05-22_20_50,0,A1,0.0011781541606932448,True,81,12300,36.69487589363655,1.9631482848238875,21.242503372863837,
9,2023_02_18-16_43_50,0,A1,0.007381005832886036,True,74,11250,103.07208922476417,2.21551404013627,306.30390572863655,
10,2023_01_09-04_03_00,0,A1,1.9321317102679392,True,14,2250,629.2705412978548,675.1514408798762,0.28419033434568064,
11,2023_01_26-00_09_10,0,A1,0.007057907612301869,True,142,21450,1.2537355815979936,571.0807744144902,46.536682436870535,
12,2023_02_17-21_35_00,0,A1,0.004796417863465995,True,113,17100,0.0010053146617110542,15.232093572956956,4.99757793590868,
13,2023_02_17-03_54_00,0,A1,0.0025734234639664135,True,60,9150,4.316472588581462,168.17043206984602,109.33175337403253,
14,2023_02_09-23_59_00,0,A1,0.011228152190030326,True,37,5700,804.235388792406,2.065599439181881,631.9499983749761,
15,2023_01_08-11_00_30,0,A1,0.010840006281597127,True,66,10050,4.635210844470237,624.6149528496649,357.403584720258,
16,2023_01_20-13_12_00,0,A1,0.02573773045695142,True,66,10050,7.525383461026422,999.6855203950774,990.7992421428066,
17,2023_02_13-22_37_00,0,A1,0.01005252110216776,True,70,10650,75.56661496903678,3.0642261377368527,36.29441822395563,
18,2023_01_04-00_16_30,0,A1,0.0015772120303255586,True,108,16350,2.261092311478933,293.0407016071641,33.69774931788709,
19,2023_01_24-09_44_02,0,A1,0.0014262920598747217,True,49,7500,1.9369398929109707,167.5925039989187,716.4296333204597,
20,2023_01_17-01_31_40,0,A1,0.002622194978899662,True,83,12600,3.1586348541346183,72.80236461065851,27.78166926863156,
21,2023_02_07-04_56_30,0,A1,0.0031173500099336963,True,42,6450,558.6104562180055,2.9434108195870863,739.2371777373087,
22,2023_01_25-02_07_20,0,A1,0.00141271527773224,True,52,7950,4.817321872593709,74.74099859207507,493.9646180380411,
23,2023_02_09-00_13_00,1,A1,0.00027069237008841207,True,79,12000,0.9328128666667794,16.185357559030706,6.392188604093917,
24,2023_02_13-14_08_10,1,A1,15.997259946263473,True,6,1050,473.69024909377595,643.8923250641002,42.61586697158481,
25,2023_01_06-08_45_00,1,A1,0.004524170349665097,True,110,16650,2.9352591204517466,988.5698146452036,61.585377519489555,
26,2023_01_05-00_21_20,1,A1,0.002437311908286714,True,73,11100,913.5098807798155,4.756202883336812,290.56667521014106,
27,2023_01_13-14_04_00,1,A1,0.010978739296639551,True,38,5850,3.9460413710398825,544.9947416717869,548.7975096644415,
28,2023_02_12-10_41_30,1,A1,469.44774179304227,True,19,3000,806.3318516427228,467.1044570407679,1.1011159705111027,
29,2023_02_01-21_45_40,1,A1,0.0014058215997435478,True,35,5400,695.3226639937538,7.513014024638437,603.583776781573,
